,order_id,product_id,add_to_cart_order,reordered
8,36,39612,1,0
9,36,19660,2,1
10,36,49235,3,0
11,36,43086,4,1
12,36,46620,5,1
13,36,34497,6,1
14,36,48679,7,1
15,36,46979,8,1
81,112,27104,1,1
82,112,21174,2,1
83,112,41860,3,0
84,112,38273,4,0
85,112,47209,5,0
86,112,5876,6,1
87,112,29217,7,0
88,112,9047,8,0
89,112,4549,9,0
90,112,22425,10,0
91,112,11776,11,0
188,844,14992,1,1
189,844,21405,2,1
190,844,11182,3,1
191,844,28289,4,1
192,844,9387,5,1
193,844,18599,6,1
194,844,31766,7,1
223,904,8013,1,0
224,904,46149,2,0
239,988,45061,1,0
240,988,28464,2,0
241,988,12626,3,0
242,988,4818,4,1
367,1325,35914,1,1
368,1325,13176,2,1
369,1325,36425,3,1
370,1325,26165,4,0
371,1325,3664,5,1
382,1342,13176,1,1
383,1342,30827,2,1
384,1342,14966,3,1
385,1342,21137,4,1
386,1342,46129,5,1
387,1342,3798,6,1
388,1342,33081,7,1
389,1342,7862,8,1
390,1350,12260,1,0
391,1350,25042,2,0
392,1350,38311,3,0
393,1350,18830,4,0
394,1350,1017,5,0
395,1350,37620,6,1
396,1350,38371,7,0
397,1350,16714,8,1
398,1350,30571,9,0
399,1350,23535,10,0
400,1350,23776,11,0
519,1703,39251,1,1
520,1703,46676,2,1
521,1703,2086,3,1
522,1703,5785,4,0
523,1703,5212,5,1
524,1703,23375,6,1
641,2011,14399,1,1
642,2011,3765,2,1
643,2011,48205,3,0
644,2021,9387,1,0
645,2021,4461,2,0
646,2021,22935,3,1
647,2021,8193,4,1
648,2021,10504,5,0
649,2021,22089,6,1
650,2021,23265,7,1
651,2021,27841,8,1
652,2021,44402,9,1
653,2021,34358,10,1
654,2021,199,11,1
655,2021,5077,12,1
656,2021,44292,13,1
657,2021,47626,14,1
658,2021,5460,15,1
659,2021,29382,16,1
660,2021,31506,17,1
794,2737,12481,1,1
795,2737,6187,2,1
796,2737,49610,3,1
892,2936,24184,1,0
893,2936,24964,2,1
894,2936,30489,3,1
1028,3327,1308,1,0
1029,3327,38067,2,0
1030,3327,36183,3,1
1031,3327,12838,4,0
1032,3327,46979,5,1
1033,3327,36070,6,0
1034,3327,44632,7,1
1035,3327,27509,8,1
1036,3327,18465,9,1
1037,3327,40724,10,0
1052,3368,14852,1,1
1053,3368,37067,2,1
1054,3368,27845,3,1
1055,3368,27247,4,1
1056,3368,9210,5,1
1057,3368,11136,6,1
1058,3368,13431,7,1
1059,3368,9322,8,0
1060,3368,6343,9,1
1061,3368,29627,10,1
1062,3368,44815,11,0
1063,3368,38303,12,1
1064,3368,40568,13,0
1065,3368,47900,14,1
1066,3368,10904,15,0
1067,3368,16911,16,0
1068,3368,37053,17,0
1069,3368,48679,18,0
1070,3368,22935,19,1
1071,3368,34126,20,1
1193,3514,36620,1,1
1429,4092,26209,1,0
1430,4092,6615,2,0
1431,4092,44570,3,1
1432,4092,47626,4,1
1433,4092,17794,5,1
1434,4092,31553,6,1
1435,4092,35108,7,1
1436,4092,42585,8,1
1437,4092,21903,9,1
1438,4092,34358,10,1
1439,4092,45007,11,1
1440,4092,40706,12,1
1441,4092,1529,13,1
1442,4092,42768,14,1
1443,4092,16185,15,1
1444,4092,4086,16,1
1445,4092,10644,17,1
1542,4234,27344,1,0
1543,4234,22963,2,0
1544,4234,12456,3,0
1545,4234,47156,4,0
1546,4234,4462,5,0
1547,4234,35633,6,0
1548,4234,9203,7,0
1549,4234,9554,8,1
1550,4234,35921,9,1
1551,4234,26283,10,1
1552,4234,34243,11,1
1553,4234,18881,12,1
1554,4234,25230,13,1
1555,4234,23630,14,1
1556,4234,40388,15,1
1557,4234,47209,16,1
1558,4234,9038,17,1
1559,4234,2716,18,1
1560,4234,47029,19,1
1561,4234,28465,20,1
1562,4234,21783,21,1
